DateOfStop	TimeOfStop	Violation	Location	Latitude	Longitude	Accident	Year	Make	Model
11/26/2025	8:08:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 49 MPH IN A POSTED 40 MPH ZONE	DARNESTOWN RD @ ALDERWOOD DR	39.10889167	-77.23696	No	2019	TOYOTA	HIGHLANDER
11/26/2025	8:07:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLH RD @ HAMMONTON DR	39.07426	-77.00610333	No	2013	NISSAN	ROGUE
11/26/2025	8:00:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 49 MPH IN A POSTED 40 MPH ZONE	DARNESTOWN RD @ MUDDY BRANCH RD	39.10338167	-77.224205	No	2013	NISSAN	PATHFINDER
11/26/2025	7:49:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 49 MPH IN A POSTED 40 MPH ZONE	RANDOLH RD @ HAMMONTON DR	39.07135833	-77.01153667	No	2020	HOND	SD
11/26/2025	7:47:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	MASSACHUSETTS AVE @ FALMOUTH RD	38.95428667	-77.10391167	No	2025	LEXS	UT
11/26/2025	7:46:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	5500 BLOCK MASSASCHUSSETS AVE	0	0	No	2017	FORD	TITANIUM
11/26/2025	7:40:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	MASSACHUSETTS AVE @ NEWPORT AVE	38.95816167	-77.10935667	No	2019	TOYT	4RUNNER
11/26/2025	7:38:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLH RD @ HAMMONTON DR	39.06998167	-77.01335167	No	2022	TOYT	UT
11/26/2025	7:35:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLPH RD @ KEMP MILL RD	39.06460317	-77.029354	No	2025	TOYOTA	COROLLA
11/26/2025	7:35:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 59 MPH IN A POSTED 40 MPH ZONE	NB NEW HAMPSHIRE AVE AT NORA DR	39.245705	-77.15454	No	2018	KIA	STINGER
11/26/2025	7:33:00	FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION	GEORGIA AVE NORTH OF GREGG RD	39.20196697	-77.06445478	No	2004	CHEVROLET	CORVETTE
11/26/2025	7:33:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED	GEORGIA AVE NORTH OF GREGG RD	39.20196697	-77.06445478	No	2004	CHEVROLET	CORVETTE
11/26/2025	7:30:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 39 MPH IN A POSTED 30 MPH ZONE	MASSACHUSETTS AVE @ FALMOUTH RD	38.95428167	-77.10399167	No	2025	TESL	SD
11/26/2025	7:28:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLH RD @ HAMMONTON DR	39.070515	-77.012765	No	2016	HONDA	ACCORD
11/26/2025	7:24:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 39 MPH IN A POSTED 30 MPH ZONE	5500 BLOCK MASSASCHUSSETS AVE	0	0	No	2018	FORD	EXPLORER
11/26/2025	7:24:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	ROCKVILLE PIKE / BOUIC  AVE   NB	39.08272167	-77.10601333	No	2023	FORD	PK
11/26/2025	7:23:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	NB NEW HAMPSHIRE AVE AT NORA DR	39.245705	-77.15454	No	2007	HONDA	CR-V
11/26/2025	7:17:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	MASSACHUSETTS AVE @ FALMOUTH RD	38.95418333	-77.104035	No	2016	TOYT	TK
11/26/2025	7:13:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	ROCKVILLE PIKE / TALBOTT NB	39.08272167	-77.10601333	No	2018	SUBA	UT
11/26/2025	7:12:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLPH RD @ KEMP MILL RD	39.06645233	-77.0323965	No	2018	TOYOTA	RAV4
11/26/2025	7:11:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 54 MPH IN A POSTED 40 MPH ZONE	SB NEW HAMPSHIRE AT NORA DR	39.245705	-77.15454	No	2020	KWORTH	DUMP TK
11/26/2025	7:08:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLH RD @ HAMMONTON DR	39.07046167	-77.01271333	No	2012	TOYT	4S
11/26/2025	7:08:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	MASSACHUSETTS AVE @ FALMOUTH RD	38.95414667	-77.10391333	No	2025	TESL	UT
11/26/2025	7:05:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 49 MPH IN A POSTED 40 MPH ZONE	10400 DARNESTWN RD	39.10083667	-77.21237833	No	2020	GMC	TRUCK
11/26/2025	7:05:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	ROCKVILLE PIKE / TALBOTT NB	39.08272167	-77.10601333	No	2017	HONDA	CRV
11/26/2025	7:01:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 39 MPH IN A POSTED 30 MPH ZONE	MASSACHUSETTS AVE @ FALMOUTH RD	38.95245833	-77.10269	No	2015	MERZ	SD
11/26/2025	6:57:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLPH RD @ KEMP MILL RD	39.06682317	-77.03461617	No	2022	TOYOTA	RAV4
11/26/2025	6:56:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	DARNESTOWN RD @ DUFIEF MILL RD	39.10287667	-77.22256833	No	2025	JEEP	UT
11/26/2025	6:55:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLH RD @ HAMMONTON DR	39.07004167	-77.01321167	No	2021	TOYT	UT
11/26/2025	6:55:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	ROCKVILLE PIKE / TALBOTT NB	39.08272167	-77.10601333	No	2018	BMW	UT
